p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora
IGF2BP3	9.12824394788801e-09	1.49814806522839e-08	120	110.4	124	9.12824398538417e-10	55	1.06772457493908	1.02923029889121	1	35.1002995236449	140	55	143	72	120	131	133	128	66	116
STIP1	7.6427369316839e-09	1.40199327136583e-08	115	111	110.5	7.64273695796905e-10	31	1.36282225775936	1.4683043574176	1	59.7297243018869	114	147	31	156	107	94	70	85	184	122
KRR1	3.79803043458767e-09	1.30756425717646e-08	185	111.3	109	3.79803044107893e-10	31	1.55140685697735	-1.23229444029314	-1	75.7559448849137	182	167	46	182	31	134	106	66	112	87
DDX6	4.81218603254025e-09	1.30756425717646e-08	85	111.8	108.5	4.81218604296095e-10	58	1.1249119314242	1.02530266352954	1	40.4906656079825	137	119	132	82	58	98	96	190	83	123
TARDBP	2.91734883544248e-09	1.30756425717646e-08	170	113.1	150	2.91734883927239e-10	7	1.03661566579255	-0.823529711472424	-1	33.1897757730756	170	65	160	55	7	175	184	140	9	166
BCLAF1	3.17472198658505e-09	1.30756425717646e-08	125	113.5	124	3.17472199112053e-10	16	1.03284266149874	1.00669633964771	1	32.8778000796681	134	91	154	68	16	125	137	113	123	174
RPS3A	7.8387320327917e-09	1.41672496372474e-08	20	114	116	7.83873206044226e-10	17	1.56195531446688	-1.36058118727132	-1	76.0576768749244	95	168	19	146	109	114	175	179	118	17
PKM	9.20182314175814e-09	1.49814806522839e-08	85	114	123	9.20182317986123e-10	71	1.32371318664875	-1.32625893397674	-1	56.1083887334598	130	135	85	71	121	154	161	83	125	75
SUPV3L1	3.11155573073351e-09	1.30756425717646e-08	105	114.2	114.5	3.11155573509031e-10	15	1.10062726260267	-1.12150385293632	-1	38.482656656813	101	105	152	70	15	128	119	159	183	110
SRP68	2.5743140947263e-08	3.27187017200698e-08	95	114.4	95	2.57431412454822e-09	67	0.876976464791477	0.955637558523743	1	16.3258787169393	77	93	179	115	155	97	91	67	84	186
RBM39	5.1685806491155e-09	1.30756425717646e-08	70	114.6	129	5.16858066113691e-10	60	1.1061373486227	-1.09074203687849	-1	38.9382651780263	131	68	150	60	68	161	173	136	72	127
GRSF1	9.67642843154538e-09	1.52704496899571e-08	165	114.9	119.5	9.67642847368033e-10	21	1.37180176947766	-1.02104529589525	-1	59.9354709650178	162	94	57	21	124	188	182	144	115	62
PCBP1	7.61670082125056e-09	1.40199327136583e-08	155	115.3	113.5	7.61670084735691e-10	77	1.19350378423894	1.22425485430051	1	45.7831885729165	153	82	95	153	106	135	121	151	77	80
BCCIP	2.44954291703219e-08	3.13350619906066e-08	110	115.4	112	2.44954294403336e-09	80	1.2330997437502	1.3443766120753	1	44.5272392407027	138	157	110	80	154	108	87	114	116	90
DDX1	4.19666791348596e-09	1.30756425717646e-08	160	116	140.5	4.19666792141137e-10	47	1.39597733738759	-1.34804092266277	-1	62.9040559460169	136	156	48	145	47	165	169	81	159	54
SND1	6.32054468080472e-09	1.30756425717646e-08	140	116.2	126	6.3205446987819e-10	57	1.28047142220507	1.19770478315829	1	53.3533013813143	151	99	80	149	92	142	140	138	114	57
FKBP4	7.0628487432166e-09	1.3455901750761e-08	125	116.7	123.5	7.06284876566433e-10	27	1.62048426171077	1.69618824272857	1	81.2560972569279	124	184	39	163	103	151	154	123	99	27
