NGenes	PropDown	PropUp	Direction	p.value	p.adj	PValue.Mixed	FDR.Mixed	avg.logfc	avg.logfc.dir	direction	significance
PUF60	178	0.325842696629214	0.297752808988764	Down	0.255	0.550615	0.012	0.0238473684210526	0.797862363851634	-0.76462183632026	-1	66.1247257817072
RBM34	191	0.167539267015707	0.308900523560209	Up	0.256	0.550615	0.008	0.0232569444444444	0.432370634211185	0.399140106506058	1	35.3416444150249
KHSRP	195	0.476923076923077	0.179487179487179	Down	0.192	0.550615	0.081	0.0817448453608247	0.650801139015313	-0.705043633326131	-1	53.738679031829
DNAJC2	187	0.513368983957219	0.128342245989305	Down	0.207	0.550615	0.085	0.0853666666666667	1.08498901652501	-1.00700927170285	-1	90.3076070755809
LIN28B	187	0.133689839572193	0.497326203208556	Up	0.202	0.550615	0.04	0.0439632768361582	0.73978794770945	0.754924000134753	1	61.2334811037877
AARS	190	0.405263157894737	0.194736842105263	Down	0.175	0.550615	0.015	0.024625	0.781799002890979	-0.771156120845691	-1	64.7718094025578
PSIP1	187	0.155080213903743	0.422459893048128	Up	0.208	0.550615	0.021	0.0280451388888889	0.507075808788598	0.462306593872298	1	41.6335938109551
FTO	192	0.203125	0.369791666666667	Up	0.261	0.550615	0.004	0.0229833333333333	0.806496922557061	-0.813693545072459	-1	66.8519606317435
EWSR1	192	0.151041666666667	0.364583333333333	Up	0.172	0.550615	0.018	0.0265192307692308	0.561131358525428	0.583569089510002	1	46.1863545191291
ZRANB2	184	0.244565217391304	0.331521739130435	Up	0.269	0.550615	0.006	0.0230531914893617	0.81189644309879	0.993349138311465	1	67.3067284601171
SSRP1	196	0.469387755102041	0.23469387755102	Down	0.272	0.550615	0.037	0.0413247126436782	0.809871653403579	0.753070031197957	1	67.1361930939696
TFIP11	196	0.209183673469388	0.38265306122449	Up	0.27	0.550615	0.01	0.0236898734177215	0.734682672621956	-0.571744311272234	-1	60.8034957288184
